khamr (wine/intoxicant)	Quran 2:219, Quran 5:90, Quran 5:91, Quran 24:31, Quran 47:15
kufr (disbelief)	Quran 2:88, Quran 2:93, Quran 2:108, Quran 3:52, Quran 3:80, Quran 3:167, Quran 3:176, Quran 3:177, Quran 3:193, Quran 4:46, Quran 4:155, Quran 5:41, Quran 5:61, Quran 5:65, Quran 9:12, Quran 9:17, Quran 9:23, Quran 9:37, Quran 9:74, Quran 13:42, Quran 16:106, Quran 27:40, Quran 39:7, Quran 39:8, Quran 40:84, Quran 49:7, Quran 59:16, Quran 88:23
mar'a (woman)	Quran 33:50
nahy (prohibition)	Quran 7:20, Quran 11:88, Quran 59:7
nikah (marriage)	Quran 2:235, Quran 2:237, Quran 4:6
nisaa (women)	Quran 2:49, Quran 2:222, Quran 2:231, Quran 2:232, Quran 2:235, Quran 2:236, Quran 3:14, Quran 3:42, Quran 3:61, Quran 4:1, Quran 4:3, Quran 4:4, Quran 4:11, Quran 4:19, Quran 4:22, Quran 4:24, Quran 4:34, Quran 4:43, Quran 4:75, Quran 4:98, Quran 4:127, Quran 4:129, Quran 4:176, Quran 5:6, Quran 7:81, Quran 7:127, Quran 7:141, Quran 14:6, Quran 24:31, Quran 24:60, Quran 27:55, Quran 28:4, Quran 33:32, Quran 33:52, Quran 33:59, Quran 40:25, Quran 48:25, Quran 49:11, Quran 65:1
nushuz (rebellion)	Quran 4:34
qatl (killing)	Quran 2:178, Quran 2:191, Quran 2:217, Quran 2:251, Quran 3:144, Quran 3:146, Quran 3:154, Quran 3:181, Quran 4:84, Quran 4:92, Quran 4:155, Quran 4:157, Quran 5:30, Quran 5:32, Quran 5:95, Quran 6:137, Quran 8:17, Quran 9:30, Quran 17:31, Quran 17:33, Quran 33:16, Quran 40:26, Quran 48:22, Quran 51:10, Quran 57:10, Quran 63:4, Quran 74:19, Quran 74:20, Quran 80:17, Quran 85:4
qisas (retaliation)	Quran 2:178, Quran 2:179, Quran 2:194, Quran 5:45
qital (fighting)	Quran 2:216, Quran 2:217, Quran 2:246, Quran 3:121, Quran 4:77, Quran 8:16, Quran 8:65, Quran 33:25, Quran 47:20
rahma (mercy)	Quran 2:157, Quran 2:178, Quran 3:8, Quran 3:107, Quran 3:157, Quran 3:159, Quran 4:96, Quran 4:175, Quran 6:12, Quran 6:54, Quran 6:133, Quran 6:147, Quran 6:154, Quran 6:157, Quran 7:49, Quran 7:52, Quran 7:72, Quran 7:154, Quran 7:203, Quran 9:21, Quran 9:61, Quran 10:21, Quran 10:57, Quran 11:9, Quran 11:17, Quran 11:28, Quran 11:58, Quran 11:63, Quran 11:66, Quran 11:94, Quran 12:111, Quran 15:56, Quran 16:64, Quran 16:89, Quran 17:24, Quran 17:28, Quran 17:82, Quran 17:87, Quran 17:100, Quran 18:10, Quran 18:58, Quran 18:65, Quran 18:82, Quran 18:98, Quran 19:21, Quran 21:84, Quran 21:107, Quran 27:77, Quran 28:43, Quran 28:46, Quran 28:86, Quran 29:51, Quran 30:21, Quran 30:33, Quran 30:36, Quran 31:3, Quran 33:17, Quran 35:2, Quran 36:44, Quran 38:9, Quran 38:43, Quran 39:9, Quran 39:38, Quran 39:53, Quran 40:7, Quran 41:50, Quran 42:48, Quran 44:6, Quran 45:20, Quran 46:12, Quran 57:13, Quran 57:27
raqaba (slave/neck)	Quran 4:92, Quran 5:89, Quran 58:3, Quran 90:13
riba (usury/interest)	Quran 6:164, Quran 18:61, Quran 30:39
ruh (spirit)	Quran 2:87, Quran 2:253, Quran 4:171, Quran 5:110, Quran 12:87, Quran 15:29, Quran 16:2, Quran 16:102, Quran 17:85, Quran 19:17, Quran 21:91, Quran 26:193, Quran 38:72, Quran 40:15, Quran 56:89, Quran 58:22, Quran 66:12, Quran 70:4, Quran 78:38, Quran 97:4
sadaqa (charity)	Quran 2:196, Quran 2:263, Quran 4:114, Quran 9:103, Quran 58:12
shahid (witness)	Quran 11:17, Quran 12:26, Quran 46:10, Quran 85:3
sharia (law)	Quran 45:18
shirk (associating partners)	Quran 6:148, Quran 35:14
sulh (reconciliation)	Quran 4:128, Quran 7:56, Quran 7:85, Quran 9:120, Quran 11:46, Quran 11:89, Quran 13:23, Quran 26:142, Quran 35:10, Quran 40:8, Quran 66:4
sunnah (way/practice)	Quran 33:19, Quran 33:62, Quran 48:23
tawba (repentance)	Quran 4:17, Quran 4:18, Quran 4:92, Quran 9:104, Quran 42:25, Quran 66:8
tawfiq (enabling)	Quran 11:88
wasiyya (bequest)	Quran 2:180, Quran 5:106
yatim (orphan)	Quran 6:152, Quran 17:34, Quran 89:17, Quran 93:9, Quran 107:2
zawj (spouse)	Quran 2:25, Quran 2:35, Quran 2:232, Quran 4:1, Quran 4:12, Quran 4:20, Quran 4:57, Quran 6:139, Quran 6:143, Quran 7:19, Quran 7:189, Quran 16:72, Quran 23:6, Quran 24:6, Quran 25:74, Quran 26:7, Quran 26:166, Quran 31:10, Quran 33:4, Quran 33:37, Quran 33:50, Quran 33:52, Quran 38:58, Quran 39:6, Quran 58:1, Quran 60:11, Quran 64:14, Quran 66:1, Quran 70:30
zina (adultery/fornication)	Quran 18:105
zulm (oppression)	Quran 2:20, Quran 2:114, Quran 2:140, Quran 2:231, Quran 3:117, Quran 4:148, Quran 4:153, Quran 6:21, Quran 6:82, Quran 6:93, Quran 6:131, Quran 6:144, Quran 6:157, Quran 7:23, Quran 7:37, Quran 8:51, Quran 10:17, Quran 11:18, Quran 11:117, Quran 13:6, Quran 16:33, Quran 16:61, Quran 18:15, Quran 18:57, Quran 18:87, Quran 22:10, Quran 22:25, Quran 27:11, Quran 29:68, Quran 31:13, Quran 32:22, Quran 38:24, Quran 39:32, Quran 40:17, Quran 41:46, Quran 50:29, Quran 53:52, Quran 61:7, Quran 65:1
